,NEIGHBORHOOD,VERTEX TYPE,LATITUDE,LONGITUDE,POINTORDER,POLYGON NUMBER
457,South Beach,START,37.78886,-122.388046,1,37
458,South Beach,INTERIOR,37.782009,-122.396545,2,37
459,South Beach,INTERIOR,37.777161,-122.389847,3,37
460,South Beach,INTERIOR,37.778278,-122.387489,4,37
461,South Beach,INTERIOR,37.787979,-122.387657,5,37
462,South Beach,INTERIOR,37.78886,-122.388046,6,37
463,Telegraph Hill,START,37.806259,-122.405579,1,38
464,Telegraph Hill,INTERIOR,37.803818,-122.401459,2,38
465,Telegraph Hill,INTERIOR,37.799339,-122.397682,3,38
466,Telegraph Hill,INTERIOR,37.797985,-122.405235,4,38
467,Telegraph Hill,INTERIOR,37.797714,-122.406776,5,38
468,Telegraph Hill,INTERIOR,37.79961,-122.408669,6,38
469,Telegraph Hill,INTERIOR,37.805714,-122.409523,7,38
470,Telegraph Hill,INTERIOR,37.806259,-122.405579,8,38
471,Tenderloin,START,37.788551,-122.421867,1,39
472,Tenderloin,INTERIOR,37.781925,-122.420464,2,39
473,Tenderloin,INTERIOR,37.782314,-122.417305,3,39
474,Tenderloin,INTERIOR,37.780338,-122.416962,4,39
475,Tenderloin,INTERIOR,37.78051,-122.415237,5,39
476,Tenderloin,INTERIOR,37.780891,-122.412849,6,39
477,Tenderloin,INTERIOR,37.780411,-122.412247,7,39
478,Tenderloin,INTERIOR,37.783192,-122.408913,8,39
479,Tenderloin,INTERIOR,37.789982,-122.410278,9,39
480,Tenderloin,INTERIOR,37.788551,-122.421867,10,39
481,The Castro,START,37.76379,-122.433319,1,40
482,The Castro,INTERIOR,37.762699,-122.43512,2,40
483,The Castro,INTERIOR,37.765549,-122.435417,3,40
484,The Castro,INTERIOR,37.765591,-122.436661,4,40
485,The Castro,INTERIOR,37.76545,-122.440559,5,40
486,The Castro,INTERIOR,37.765011,-122.442291,6,40
487,The Castro,INTERIOR,37.764599,-122.442757,7,40
488,The Castro,INTERIOR,37.763481,-122.442757,8,40
489,The Castro,INTERIOR,37.763378,-122.44352,9,40
490,The Castro,INTERIOR,37.76199,-122.444992,10,40
491,The Castro,INTERIOR,37.761749,-122.447609,11,40
492,The Castro,INTERIOR,37.759209,-122.447311,12,40
493,The Castro,INTERIOR,37.757751,-122.44323,13,40
494,The Castro,INTERIOR,37.756329,-122.4422,14,40
495,The Castro,INTERIOR,37.756321,-122.441238,15,40
496,The Castro,INTERIOR,37.756248,-122.440872,16,40
497,The Castro,INTERIOR,37.756229,-122.440865,17,40
498,The Castro,INTERIOR,37.755482,-122.441299,18,40
499,The Castro,INTERIOR,37.755821,-122.438766,19,40
500,The Castro,INTERIOR,37.756458,-122.429581,20,40
501,The Castro,INTERIOR,37.765831,-122.430779,21,40
502,The Castro,INTERIOR,37.76379,-122.433319,22,40
503,Twin Peaks,START,37.759209,-122.447258,1,41
504,Twin Peaks,INTERIOR,37.75853,-122.450127,2,41
505,Twin Peaks,INTERIOR,37.757851,-122.452621,3,41
506,Twin Peaks,INTERIOR,37.755508,-122.454468,4,41
507,Twin Peaks,INTERIOR,37.75375,-122.45575,5,41
508,Twin Peaks,INTERIOR,37.749401,-122.45575,6,41
509,Twin Peaks,INTERIOR,37.749439,-122.457176,7,41
510,Twin Peaks,INTERIOR,37.746552,-122.457176,8,41
511,Twin Peaks,INTERIOR,37.745602,-122.453789,9,41
512,Twin Peaks,INTERIOR,37.745399,-122.45134,10,41
513,Twin Peaks,INTERIOR,37.747059,-122.444603,11,41
514,Twin Peaks,INTERIOR,37.754929,-122.441681,12,41
515,Twin Peaks,INTERIOR,37.756031,-122.440857,13,41
516,Twin Peaks,INTERIOR,37.75626,-122.440903,14,41
517,Twin Peaks,INTERIOR,37.756329,-122.441261,15,41
518,Twin Peaks,INTERIOR,37.756329,-122.4422,16,41
519,Twin Peaks,INTERIOR,37.756359,-122.442131,17,41
520,Twin Peaks,INTERIOR,37.757755,-122.44323,18,41
521,Twin Peaks,INTERIOR,37.758259,-122.444603,19,41
522,Twin Peaks,INTERIOR,37.759209,-122.447258,20,41
523,Visitacion Valley,START,37.721783,-122.40033,1,42
524,Visitacion Valley,INTERIOR,37.719067,-122.410973,2,42
525,Visitacion Valley,INTERIOR,37.71825,-122.414749,3,42
526,Visitacion Valley,INTERIOR,37.720016,-122.424957,4,42
527,Visitacion Valley,INTERIOR,37.715809,-122.426849,5,42
528,Visitacion Valley,INTERIOR,37.716488,-122.430969,6,42
529,Visitacion Valley,INTERIOR,37.712955,-122.433197,7,42
530,Visitacion Valley,INTERIOR,37.710377,-122.424789,8,42
531,Visitacion Valley,INTERIOR,37.709084,-122.423073,9,42
532,Visitacion Valley,INTERIOR,37.708065,-122.423843,10,42
533,Visitacion Valley,INTERIOR,37.708542,-122.39492,11,42
534,Visitacion Valley,INTERIOR,37.712749,-122.396118,12,42
535,Visitacion Valley,INTERIOR,37.715809,-122.398438,13,42
536,Visitacion Valley,INTERIOR,37.721783,-122.40033,14,42
537,West Portal,START,37.74313,-122.470184,1,43
538,West Portal,INTERIOR,37.739094,-122.469925,2,43
539,West Portal,INTERIOR,37.73838,-122.469711,3,43
540,West Portal,INTERIOR,37.737701,-122.470825,4,43
541,West Portal,INTERIOR,37.736378,-122.470741,5,43
542,West Portal,INTERIOR,37.735596,-122.47113,6,43
543,West Portal,INTERIOR,37.734749,-122.471298,7,43
544,West Portal,INTERIOR,37.739094,-122.466324,8,43
545,West Portal,INTERIOR,37.740009,-122.463577,9,43
546,West Portal,INTERIOR,37.740177,-122.459625,10,43
547,West Portal,INTERIOR,37.740822,-122.459541,11,43
548,West Portal,INTERIOR,37.742756,-122.461517,12,43
549,West Portal,INTERIOR,37.743641,-122.463707,13,43
550,West Portal,INTERIOR,37.743336,-122.465637,14,43
551,West Portal,INTERIOR,37.743366,-122.466148,15,43
552,West Portal,INTERIOR,37.743267,-122.468254,16,43
553,West Portal,INTERIOR,37.74313,-122.470184,17,43
554,Western Addition/NOPA,START,37.790379,-122.422379,1,44
555,Western Addition/NOPA,INTERIOR,37.787128,-122.446411,2,44
556,Western Addition/NOPA,INTERIOR,37.786251,-122.446327,3,44
557,Western Addition/NOPA,INTERIOR,37.785301,-122.447273,4,44
558,Western Addition/NOPA,INTERIOR,37.782921,-122.446762,5,44
559,Western Addition/NOPA,INTERIOR,37.782181,-122.447609,6,44
560,Western Addition/NOPA,INTERIOR,37.775871,-122.446503,7,44
561,Western Addition/NOPA,INTERIOR,37.77478,-122.45285,8,44
562,Western Addition/NOPA,INTERIOR,37.772202,-122.452248,9,44
563,Western Addition/NOPA,INTERIOR,37.774029,-122.437401,10,44
564,Western Addition/NOPA,INTERIOR,37.779671,-122.43869,11,44
565,Western Addition/NOPA,INTERIOR,37.780548,-122.432083,12,44
566,Western Addition/NOPA,INTERIOR,37.77858,-122.431557,13,44
567,Western Addition/NOPA,INTERIOR,37.778992,-122.428223,14,44
568,Western Addition/NOPA,INTERIOR,37.777901,-122.427872,15,44
569,Western Addition/NOPA,INTERIOR,37.778889,-122.421677,16,44
570,Western Addition/NOPA,INTERIOR,37.781654,-122.422195,17,44
571,Western Addition/NOPA,INTERIOR,37.781921,-122.420441,18,44
572,Western Addition/NOPA,INTERIOR,37.790379,-122.422379,19,44
